NPS,Category,Customer ID,Customer Name,Order Date,Order ID,Product ID,Product Name,Segment,Sub-Category,Discount,Profit,Quantity,Sales
9,Office Supplies,JS-15685,Jim Sink,6/19/2023,US-2023-169999,OFF-ST-10001511,Space Solutions Commercial Steel Shelving,Corporate,Storage,0,6,2,129
6,Office Supplies,JS-15685,Jim Sink,6/19/2023,US-2023-169999,OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Corporate,Binders,0.2,4,3,12
6,Furniture,HG-15025,Hunter Glantz,12/24/2023,US-2023-169978,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Consumer,Chairs,0.1,48,2,272
2,Office Supplies,HG-15025,Hunter Glantz,12/24/2023,US-2023-169978,OFF-BI-10001900,"DXL Angle-View Binders with Locking Rings, Black",Consumer,Binders,0.2,5,3,14
4,Office Supplies,LS-17200,Luke Schmidt,9/25/2023,US-2023-169929,OFF-ST-10002352,Iris Project Case,Corporate,Storage,0,10,5,40
5,Technology,CC-12550,Clay Cheatham,6/15/2023,US-2023-169901,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Consumer,Phones,0.2,5,3,48
1,Office Supplies,MV-17485,Mark Van Huff,11/24/2023,US-2023-169894,OFF-BI-10004230,GBC Recycled Grain Textured Covers,Consumer,Binders,0.7,-15,2,21
7,Office Supplies,MV-17485,Mark Van Huff,11/24/2023,US-2023-169894,OFF-ST-10000060,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Consumer,Storage,0.2,-42,8,416
7,Furniture,MP-18175,Mike Pelletier,12/14/2023,US-2023-169859,FUR-FU-10004963,"Eldon 400 Class Desk Accessories, Black Carbon",Home Office,Furnishings,0,11,3,26
7,Office Supplies,MP-18175,Mike Pelletier,12/14/2023,US-2023-169859,OFF-EN-10000461,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Home Office,Envelopes,0,21,5,44
2,Office Supplies,MP-18175,Mike Pelletier,12/14/2023,US-2023-169859,OFF-BI-10000174,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",Home Office,Binders,0.2,23,14,65
6,Office Supplies,EB-13870,Emily Burns,9/21/2023,US-2023-169817,OFF-BI-10004141,Insertable Tab Indexes For Data Binders,Consumer,Binders,0.7,-2,2,2
4,Office Supplies,RB-19360,Raymond Buch,7/25/2023,US-2023-169810,OFF-LA-10003663,Avery 498,Consumer,Labels,0,10,7,20
5,Office Supplies,Dp-13240,Dean percer,6/15/2023,US-2023-169691,OFF-ST-10001291,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Home Office,Storage,0,23,5,85
4,Office Supplies,Dp-13240,Dean percer,6/15/2023,US-2023-169691,OFF-LA-10002312,Avery 490,Home Office,Labels,0,22,3,44
1,Office Supplies,Dp-13240,Dean percer,6/15/2023,US-2023-169691,OFF-PA-10003022,Xerox 1992,Home Office,Paper,0,9,3,18
7,Office Supplies,CA-12265,Christina Anderson,10/12/2023,US-2023-169607,OFF-PA-10000477,Xerox 1952,Consumer,Paper,0,5,2,10
2,Office Supplies,RL-19615,Rob Lucas,7/7/2023,US-2023-169551,OFF-ST-10004835,Plastic Stacking Crates & Casters,Consumer,Storage,0.2,1,3,13
2,Office Supplies,RL-19615,Rob Lucas,7/7/2023,US-2023-169551,OFF-PA-10004100,Xerox 216,Consumer,Paper,0.2,5,3,16
6,Furniture,RL-19615,Rob Lucas,7/7/2023,US-2023-169551,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Consumer,Bookcases,0.5,-45,3,87
7,Technology,RL-19615,Rob Lucas,7/7/2023,US-2023-169551,TEC-PH-10001363,Apple iPhone 5S,Consumer,Phones,0.4,-114,2,684
3,Technology,RL-19615,Rob Lucas,7/7/2023,US-2023-169551,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Consumer,????Accessories,0.2,86,2,528
6,Technology,RL-19615,Rob Lucas,7/7/2023,US-2023-169551,TEC-AC-10002018,AmazonBasics 3-Button USB Wired Mouse,Consumer,????Accessories,0.2,5,3,17
2,Office Supplies,MG-17650,Matthew Grinstein,8/28/2023,US-2023-169502,OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Home Office,Appliances,0,27,5,92
8,Office Supplies,MG-17650,Matthew Grinstein,8/28/2023,US-2023-169502,OFF-SU-10004115,Acme Stainless Steel Office Snips,Home Office,Supplies,0,6,3,22
1,Office Supplies,AA-10375,Allen Armold,9/7/2023,US-2023-169488,OFF-PA-10002659,Avoid Verbal Orders Carbonless Minifold Book,Consumer,Paper,0,8,5,17
4,Office Supplies,AA-10375,Allen Armold,9/7/2023,US-2023-169488,OFF-PA-10000157,Xerox 191,Consumer,Paper,0,19,2,40
5,Office Supplies,JF-15355,Jay Fein,2/4/2023,US-2023-169474,OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,Consumer,Appliances,0,8,3,33
8,Furniture,LC-17140,Logan Currie,9/9/2023,US-2023-169439,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Consumer,Furnishings,0.2,-9,2,66
1,Office Supplies,LC-17140,Logan Currie,9/9/2023,US-2023-169439,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Consumer,!Art,0.2,4,5,26
4,Furniture,AC-10615,Ann Chong,12/24/2023,US-2023-169411,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Corporate,Furnishings,0,7,1,38
1,Office Supplies,NC-18625,Noah Childs,4/9/2023,US-2023-169404,OFF-PA-10001033,Xerox 1893,Corporate,Paper,0.2,24,2,66
6,Office Supplies,NC-18625,Noah Childs,4/9/2023,US-2023-169404,OFF-BI-10004492,Tuf-Vin Binders,Corporate,Binders,0.7,-29,4,38
5,Technology,SP-20860,Sung Pak,10/12/2023,US-2023-169362,TEC-AC-10001383,Logitech Wireless Touch Keyboard K400,Corporate,????Accessories,0.2,-1,2,40
2,Office Supplies,MH-17290,Marc Harrigan,9/2/2023,US-2023-169327,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",Home Office,Binders,0.2,46,5,148
7,Office Supplies,MH-17290,Marc Harrigan,9/2/2023,US-2023-169327,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Home Office,Appliances,0,11,5,43
6,Furniture,MH-17290,Marc Harrigan,9/2/2023,US-2023-169327,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,Home Office,Furnishings,0,133,5,512
1,Office Supplies,LH-16900,Lena Hernandez,7/23/2023,US-2023-169320,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Consumer,!Art,0,5,2,12
9,Technology,LH-16900,Lena Hernandez,7/23/2023,US-2023-169320,TEC-AC-10002550,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Consumer,????Accessories,0,11,5,160
0,Office Supplies,RW-19690,Robert Waldorf,3/21/2023,US-2023-169285,OFF-PA-10004971,Xerox 196,Consumer,Paper,0,3,1,6
8,Office Supplies,RW-19690,Robert Waldorf,3/21/2023,US-2023-169285,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Consumer,Paper,0,133,5,277
1,Office Supplies,NP-18700,Nora Preis,8/14/2023,US-2023-169264,OFF-LA-10001613,Avery File Folder Labels,Consumer,Labels,0,3,2,6
8,Office Supplies,NP-18700,Nora Preis,8/14/2023,US-2023-169264,OFF-AR-10000246,Newell 318,Consumer,!Art,0,4,6,17
5,Furniture,MB-17305,Maria Bertelson,7/3/2023,US-2023-169124,FUR-FU-10001215,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Consumer,Furnishings,0,54,3,129
5,Furniture,MO-17800,Meg O'Connel,4/22/2023,US-2023-169054,FUR-FU-10001488,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Home Office,Furnishings,0.2,0,3,254
8,Office Supplies,BF-11275,Beth Fritzler,7/10/2023,US-2023-169012,OFF-AP-10003278,Belkin 7-Outlet SurgeMaster Home Series,Corporate,Appliances,0,11,3,42
9,Office Supplies,BG-11035,Barry Gonzalez,11/2/2023,US-2023-169005,OFF-AR-10000246,Newell 318,Consumer,!Art,0,1,2,6
1,Office Supplies,EM-13960,Eric Murdock,8/1/2023,US-2023-168942,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",Consumer,Storage,0,50,3,187
10,Office Supplies,SH-20395,Shahid Hopkins,5/4/2023,US-2023-168900,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,Binders,0.7,-2,1,2
9,Office Supplies,JD-16150,Justin Deggeller,11/19/2023,US-2023-168858,OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Corporate,Appliances,0,626,7,2505
